tag,ts,host,cudart,mode,precision,gpus,M,N,K,iters,warmup,agg_tflops,per_gpu_tflops,pct_peak,wall_ms,sm_mhz_avg,sm_mhz_max,mem_mhz_avg,power_w_avg,power_w_max,temp_c_max,throttle,util_pct_avg,mem_gb_per_gpu,fp64_tensor,validated,max_rel_err,h2d_ms,d2h_ms,compute_ms,e2e_ms,h2d_gbps,d2h_gbps,eff_tflops,transfer_pct,engine,density,nnz,status
split,1788841637,Tesla_V100-SXM2-16GB,12000,split,fp32,1,512,512,512,15,3,7.85,7.85,40.25,0.513,1312,1312,877,62.0,62.0,34,none,1.0,0.003,0,1,5.45e-06,0.293,0.180,0.034,0.508,7.2,5.8,0.529,93.3,dense,1,262144,ok
split,1788841637,Tesla_V100-SXM2-16GB,12000,split,fp32,2,512,512,512,15,3,10.19,5.09,26.12,0.395,1312,1312,877,58.5,60.0,34,none,1.5,0.002,0,1,3.12e-05,0.250,0.098,0.025,0.372,6.3,5.4,0.722,93.3,dense,1,262144,ok
split,1788841637,Tesla_V100-SXM2-16GB,12000,split,fp32,3,512,512,512,15,3,9.23,3.08,15.78,0.436,1312,1312,877,57.2,59.0,34,none,0.7,0.002,0,1,0.000103,0.201,0.094,0.022,0.317,7.0,3.7,0.848,93.2,dense,1,262144,ok
split,1788841637,Tesla_V100-SXM2-16GB,12000,split,fp32,4,512,512,512,15,3,7.27,1.82,9.32,0.554,1312,1312,877,57.3,58.6,36,none,1.2,0.002,0,1,0.000196,0.167,0.081,0.017,0.266,7.9,3.2,1.011,93.5,dense,1,262144,ok
split,1788841638,Tesla_V100-SXM2-16GB,12000,split,fp64,1,512,512,512,15,3,1.91,1.91,19.73,2.104,1312,1312,877,58.6,58.6,34,none,1.0,0.006,0,1,0,0.518,0.333,0.140,0.991,8.1,6.3,0.271,85.8,dense,1,262144,ok
split,1788841638,Tesla_V100-SXM2-16GB,12000,split,fp64,2,512,512,512,15,3,2.43,1.22,12.53,1.657,1312,1312,877,62.9,65.3,35,none,0.5,0.004,0,1,0,0.392,0.208,0.110,0.710,8.0,5.0,0.378,84.4,dense,1,262144,ok
split,1788841638,Tesla_V100-SXM2-16GB,12000,split,fp64,3,512,512,512,15,3,2.39,0.80,8.20,1.687,1312,1312,877,61.9,64.9,35,none,0.3,0.003,0,1,0,0.526,0.165,0.109,0.800,5.3,4.2,0.336,86.4,dense,1,262144,ok
split,1788841638,Tesla_V100-SXM2-16GB,12000,split,fp64,4,512,512,512,15,3,2.56,0.64,6.61,1.571,1312,1312,877,60.5,64.9,36,none,0.5,0.003,0,1,0,0.559,0.091,0.103,0.752,4.7,5.8,0.357,86.3,dense,1,262144,ok
split,1788841638,Tesla_V100-SXM2-16GB,12000,split,bf16,1,512,512,512,15,3,3.03,3.03,0.97,1.329,1312,1312,877,61.0,61.0,35,none,1.0,0.002,0,1,2e-06,0.180,0.119,0.089,0.388,5.8,8.8,0.692,77.1,dense,1,262144,ok
split,1788841638,Tesla_V100-SXM2-16GB,12000,split,bf16,2,512,512,512,15,3,3.89,1.94,0.62,1.035,1312,1312,877,59.5,61.0,35,none,0.5,0.001,0,1,4.95e-06,0.111,0.097,0.069,0.277,7.1,5.4,0.969,75.1,dense,1,262144,ok
split,1788841638,Tesla_V100-SXM2-16GB,12000,split,bf16,3,512,512,512,15,3,3.84,1.28,0.41,1.048,1312,1312,877,59.7,62.0,34,none,5.0,0.001,0,1,2.18e-05,0.115,0.054,0.068,0.238,6.1,6.4,1.129,71.3,dense,1,262144,ok
split,1788841638,Tesla_V100-SXM2-16GB,12000,split,bf16,4,512,512,512,15,3,3.95,0.99,0.32,1.019,1312,1312,877,58.2,60.0,36,none,4.0,0.001,0,1,4.49e-05,0.105,0.052,0.068,0.224,6.3,5.0,1.196,69.9,dense,1,262144,ok
split,1788841638,Tesla_V100-SXM2-16GB,12000,split,fp32,1,1024,1024,1024,15,3,10.73,10.73,55.00,3.003,1312,1312,877,92.5,92.5,34,none,15.0,0.013,0,1,3.59e-05,1.002,0.732,0.200,1.934,8.4,5.7,1.111,89.6,dense,1,1048576,ok
split,1788841638,Tesla_V100-SXM2-16GB,12000,split,fp32,2,1024,1024,1024,15,3,19.53,9.76,50.07,1.650,1312,1312,877,84.3,92.5,35,none,7.5,0.008,0,1,9.8e-06,1.205,0.681,0.109,1.995,5.2,3.1,1.077,94.5,dense,1,1048576,ok
split,1788841638,Tesla_V100-SXM2-16GB,12000,split,fp32,3,1024,1024,1024,15,3,25.25,8.42,43.16,1.276,1312,1312,877,81.5,94.5,35,none,5.0,0.007,0,1,9.61e-05,1.296,0.610,0.085,1.990,4.3,2.3,1.079,95.7,dense,1,1048576,ok
split,1788841638,Tesla_V100-SXM2-16GB,12000,split,fp32,4,1024,1024,1024,15,3,35.79,8.95,45.88,0.900,1312,1312,877,69.8,75.6,36,none,9.5,0.006,0,1,0.000772,1.128,0.385,0.060,1.573,4.6,2.7,1.365,96.2,dense,1,1048576,ok
split,1788841638,Tesla_V100-SXM2-16GB,12000,split,fp64,1,1024,1024,1024,15,3,3.06,3.06,31.57,10.519,1312,1312,877,91.4,99.3,35,none,15.0,0.025,0,1,0,2.034,1.409,0.701,4.144,8.3,6.0,0.518,83.1,dense,1,1048576,ok
split,1788841638,Tesla_V100-SXM2-16GB,12000,split,fp64,2,1024,1024,1024,15,3,6.71,3.36,34.61,4.797,1312,1312,877,90.6,113.4,35,none,16.0,0.017,0,1,0,1.510,0.896,0.315,2.720,8.3,4.7,0.790,88.4,dense,1,1048576,ok
split,1788841638,Tesla_V100-SXM2-16GB,12000,split,fp64,3,1024,1024,1024,15,3,7.07,2.36,24.29,4.557,1312,1312,877,82.8,98.9,35,none,14.7,0.014,0,1,0,1.521,1.232,0.301,3.055,7.4,2.3,0.703,90.1,dense,1,1048576,ok
split,1788841638,Tesla_V100-SXM2-16GB,12000,split,fp64,4,1024,1024,1024,15,3,7.14,1.78,18.39,4.514,1312,1312,877,75.6,76.0,36,none,17.5,0.013,0,1,0,1.833,1.216,0.301,3.349,5.7,1.7,0.641,91.0,dense,1,1048576,ok
split,1788841638,Tesla_V100-SXM2-16GB,12000,split,bf16,1,1024,1024,1024,15,3,7.92,7.92,2.54,4.066,1312,1312,877,89.2,103.7,35,none,35.0,0.008,0,1,1.33e-05,0.533,0.722,0.271,1.527,7.9,5.8,1.406,82.2,dense,1,1048576,ok
split,1788841638,Tesla_V100-SXM2-16GB,12000,split,bf16,2,1024,1024,1024,15,3,13.33,6.66,2.14,2.417,1312,1312,877,85.8,103.7,35,none,26.0,0.005,0,1,3.84e-06,0.404,0.700,0.159,1.263,7.8,3.0,1.700,87.4,dense,1,1048576,ok
split,1788841638,Tesla_V100-SXM2-16GB,12000,split,bf16,3,1024,1024,1024,15,3,13.27,4.42,1.42,2.428,1312,1312,877,76.2,86.3,35,none,21.3,0.004,0,1,0.00462,0.496,0.280,0.161,0.937,5.6,5.0,2.292,82.8,dense,1,1048576,ok
split,1788841638,Tesla_V100-SXM2-16GB,12000,split,bf16,4,1024,1024,1024,15,3,13.38,3.35,1.07,2.407,1312,1312,877,70.4,74.6,36,none,17.8,0.004,0,1,8.63e-05,0.343,0.540,0.160,1.044,7.6,1.9,2.058,84.6,dense,1,1048576,ok
split,1788841638,Tesla_V100-SXM2-16GB,12000,split,fp32,1,2048,2048,2048,15,3,12.72,12.72,65.25,20.253,1312,1312,877,123.5,198.3,35,none,20.0,0.050,0,1,2.32e-05,4.018,2.824,1.350,8.192,8.4,5.9,2.097,83.5,dense,1,4194304,ok
split,1788841638,Tesla_V100-SXM2-16GB,12000,split,fp32,2,2048,2048,2048,15,3,24.03,12.02,61.63,10.722,1312,1312,877,114.3,132.6,35,none,24.5,0.034,0,1,4.15e-05,5.360,2.922,0.715,8.997,4.7,2.9,1.910,92.1,dense,1,4194304,ok
split,1788841638,Tesla_V100-SXM2-16GB,12000,split,fp32,3,2048,2048,2048,15,3,34.67,11.56,59.26,7.433,1312,1312,877,125.1,171.2,35,none,17.3,0.028,0,1,0.000154,5.688,2.831,0.495,9.014,3.9,2.0,1.906,94.5,dense,1,4194304,ok
split,1788841638,Tesla_V100-SXM2-16GB,12000,split,fp32,4,2048,2048,2048,15,3,45.51,11.38,58.34,5.663,1312,1312,877,120.8,133.8,36,none,11.8,0.025,0,1,4.6e-05,6.968,2.893,0.378,10.238,3.0,1.4,1.678,96.3,dense,1,4194304,ok
split,1788841638,Tesla_V100-SXM2-16GB,12000,split,fp64,1,2048,2048,2048,15,3,4.51,4.51,46.45,57.196,1447,1447,877,221.5,240.1,37,none,58.0,0.101,0,1,0,8.201,5.468,3.813,17.483,8.2,6.1,0.983,78.2,dense,1,4194304,ok
split,1788841638,Tesla_V100-SXM2-16GB,12000,split,fp64,2,2048,2048,2048,15,3,7.14,3.57,36.81,36.091,1376,1447,877,159.1,205.9,37,none,38.4,0.067,0,1,0,10.482,2.760,2.406,15.647,4.8,6.1,1.098,84.6,dense,1,4194304,ok
split,1788841638,Tesla_V100-SXM2-16GB,12000,split,fp64,3,2048,2048,2048,15,3,10.48,3.49,36.02,24.583,1385,1530,877,124.0,130.8,37,none,38.3,0.056,0,1,0,14.757,5.324,1.632,21.713,3.0,2.1,0.791,92.5,dense,1,4194304,ok
split,1788841639,Tesla_V100-SXM2-16GB,12000,split,fp64,4,2048,2048,2048,15,3,12.09,3.02,31.16,21.313,1425,1530,877,150.8,174.0,37,none,48.2,0.050,0,1,0,17.357,4.989,1.308,23.654,2.4,1.7,0.726,94.5,dense,1,4194304,ok
split,1788841639,Tesla_V100-SXM2-16GB,12000,split,bf16,1,2048,2048,2048,15,3,10.98,10.98,3.52,23.466,1530,1530,877,195.5,266.4,38,none,71.4,0.034,0,1,1.74e-05,2.025,2.746,1.564,6.336,8.3,6.1,2.712,75.3,dense,1,4194304,ok
split,1788841639,Tesla_V100-SXM2-16GB,12000,split,bf16,2,2048,2048,2048,15,3,16.91,8.45,2.71,15.243,1488,1530,877,145.6,192.9,37,none,67.0,0.021,0,1,9.96e-06,1.981,2.382,1.016,5.379,6.4,3.5,3.194,81.1,dense,1,4194304,ok
split,1788841639,Tesla_V100-SXM2-16GB,12000,split,bf16,3,2048,2048,2048,15,3,28.46,9.49,3.04,9.055,1476,1530,877,130.4,148.8,37,none,55.2,0.017,0,1,0.000139,1.326,2.305,0.604,4.235,8.4,2.4,4.057,85.7,dense,1,4194304,ok
split,1788841639,Tesla_V100-SXM2-16GB,12000,split,bf16,4,2048,2048,2048,15,3,32.51,8.13,2.60,7.928,1446,1530,877,111.5,124.0,37,none,42.8,0.015,0,1,1.17e-05,2.788,2.251,0.529,5.567,3.8,1.9,3.086,90.5,dense,1,4194304,ok
split,1788841639,Tesla_V100-SXM2-16GB,12000,split,fp32,1,4096,4096,4096,15,3,14.26,14.26,73.12,144.595,1469,1530,877,305.1,326.3,39,sw_pwr,24.3,0.201,0,0,-1,16.604,10.937,9.640,37.181,8.1,6.1,3.696,74.1,dense,1,16777216,ok
split,1788841639,Tesla_V100-SXM2-16GB,12000,split,fp32,2,4096,4096,4096,15,3,28.36,14.18,72.71,72.700,1469,1530,877,285.6,332.6,40,sw_pwr,53.5,0.134,0,0,-1,23.157,10.113,4.847,38.117,4.3,3.3,3.606,87.3,dense,1,16777216,ok
split,1788841639,Tesla_V100-SXM2-16GB,12000,split,fp32,3,4096,4096,4096,15,3,40.55,13.52,69.31,50.844,1420,1462,877,244.1,318.2,40,sw_pwr,55.8,0.112,0,0,-1,31.069,9.175,3.384,43.628,2.9,2.4,3.150,92.2,dense,1,16777216,ok
split,1788841640,Tesla_V100-SXM2-16GB,12000,split,fp32,4,4096,4096,4096,15,3,50.54,12.63,64.79,40.794,1390,1507,877,157.8,276.3,38,none,64.4,0.101,0,0,-1,37.228,8.156,2.585,47.969,2.3,2.1,2.865,94.6,dense,1,16777216,ok
split,1788841640,Tesla_V100-SXM2-16GB,12000,split,fp64,1,4096,4096,4096,15,3,4.76,4.76,49.11,432.761,1515,1522,877,295.1,301.6,42,sw_pwr,89.2,0.403,0,0,-1,33.830,25.395,28.851,88.075,7.9,5.3,1.560,67.2,dense,1,16777216,ok
split,1788841640,Tesla_V100-SXM2-16GB,12000,split,fp64,2,4096,4096,4096,15,3,9.35,4.68,48.22,220.401,1511,1530,877,292.1,302.0,42,sw_pwr,78.6,0.268,0,0,-1,46.701,20.092,14.437,81.230,4.3,3.3,1.692,82.2,dense,1,16777216,ok
split,1788841641,Tesla_V100-SXM2-16GB,12000,split,fp64,3,4096,4096,4096,15,3,13.70,4.57,47.08,150.470,1520,1530,877,286.2,304.6,42,sw_pwr,68.3,0.224,0,0,-1,62.092,19.751,9.992,91.835,2.9,2.3,1.497,89.1,dense,1,16777216,ok
split,1788841641,Tesla_V100-SXM2-16GB,12000,split,fp64,4,4096,4096,4096,15,3,16.59,4.15,42.76,124.254,1487,1530,877,255.6,294.9,42,sw_pwr,70.2,0.201,0,0,-1,71.907,18.708,8.284,98.899,2.3,1.8,1.390,91.6,dense,1,16777216,ok
split,1788841641,Tesla_V100-SXM2-16GB,12000,split,bf16,1,4096,4096,4096,15,3,10.82,10.82,3.47,190.592,1455,1530,877,296.2,330.6,43,sw_pwr,84.3,0.134,0,0,-1,7.768,10.828,12.706,31.302,8.6,6.2,4.391,59.4,dense,1,16777216,ok
split,1788841642,Tesla_V100-SXM2-16GB,12000,split,bf16,2,4096,4096,4096,15,3,20.71,10.35,3.32,99.549,1471,1522,877,274.3,326.8,43,sw_pwr,56.4,0.084,0,0,-1,8.111,9.484,6.637,24.232,6.2,3.5,5.672,72.6,dense,1,16777216,ok
split,1788841642,Tesla_V100-SXM2-16GB,12000,split,bf16,3,4096,4096,4096,15,3,31.88,10.63,3.41,64.671,1501,1530,877,248.6,316.0,42,sw_pwr,52.9,0.067,0,0,-1,11.711,7.003,4.256,22.971,3.8,3.2,5.983,81.5,dense,1,16777216,ok
split,1788841642,Tesla_V100-SXM2-16GB,12000,split,bf16,4,4096,4096,4096,15,3,41.66,10.41,3.34,49.487,1523,1530,877,272.3,303.2,42,sw_pwr,38.9,0.059,0,0,-1,16.252,10.604,3.265,30.121,2.6,1.6,4.563,89.2,dense,1,16777216,ok
split,1788841643,Tesla_V100-SXM2-16GB,12000,split,fp32,1,8192,8192,8192,15,3,14.42,14.42,73.93,1143.983,1431,1447,877,294.6,305.9,45,sw_pwr,100.0,0.805,0,0,-1,66.533,40.288,76.266,183.087,8.1,6.7,6.005,58.3,dense,1,67108864,ok
split,1788841645,Tesla_V100-SXM2-16GB,12000,split,fp32,2,8192,8192,8192,15,3,29.09,14.54,74.58,566.993,1469,1492,877,290.2,299.8,46,sw_pwr,99.7,0.537,0,0,-1,97.104,20.959,36.998,155.061,4.1,6.4,7.091,76.1,dense,1,67108864,ok
split,1788841646,Tesla_V100-SXM2-16GB,12000,split,fp32,3,8192,8192,8192,15,3,41.93,13.98,71.68,393.297,1475,1507,877,285.2,312.6,46,sw_pwr,97.4,0.447,0,0,-1,125.852,43.518,25.840,195.211,2.8,2.1,5.632,86.8,dense,1,67108864,ok
split,1788841646,Tesla_V100-SXM2-16GB,12000,split,fp32,4,8192,8192,8192,15,3,59.19,14.80,75.89,278.626,1496,1530,877,294.6,308.0,46,sw_pwr,97.4,0.403,0,0,-1,165.847,40.432,18.575,224.854,2.0,1.7,4.890,91.7,dense,1,67108864,ok
split,1788841647,Tesla_V100-SXM2-16GB,12000,split,fp64,1,8192,8192,8192,15,3,4.62,4.62,47.67,3567.036,1505,1507,877,297.0,300.2,51,sw_pwr,100.0,1.611,0,0,-1,131.700,80.340,237.802,449.842,8.2,6.7,2.444,47.1,dense,1,67108864,ok
split,1788841652,Tesla_V100-SXM2-16GB,12000,split,fp64,2,8192,8192,8192,15,3,9.08,4.54,46.78,1817.238,1492,1515,877,295.3,301.7,52,sw_pwr,99.9,1.074,0,0,-1,180.566,55.534,121.149,357.249,4.5,4.8,3.078,66.1,dense,1,67108864,ok
split,1788841654,Tesla_V100-SXM2-16GB,12000,split,fp64,3,8192,8192,8192,15,3,13.48,4.49,46.33,1223.207,1488,1500,877,292.6,301.6,53,sw_pwr,99.9,0.895,0,0,-1,251.488,65.462,80.496,397.445,2.8,2.7,2.766,79.7,dense,1,67108864,ok
split,1788841656,Tesla_V100-SXM2-16GB,12000,split,fp64,4,8192,8192,8192,15,3,18.12,4.53,46.70,910.304,1493,1515,877,293.3,304.0,53,sw_pwr,99.4,0.805,0,0,-1,324.863,49.431,60.687,434.981,2.1,2.7,2.528,86.0,dense,1,67108864,ok
split,1788841658,Tesla_V100-SXM2-16GB,12000,split,bf16,1,8192,8192,8192,15,3,10.71,10.71,3.43,1540.171,1412,1417,877,298.0,301.1,55,sw_pwr,100.0,0.537,0,0,-1,32.355,43.397,102.678,178.429,8.3,6.2,6.162,42.5,dense,1,67108864,ok
split,1788841660,Tesla_V100-SXM2-16GB,12000,split,bf16,2,8192,8192,8192,15,3,20.84,10.42,3.34,791.440,1408,1417,877,292.1,299.8,55,sw_pwr,98.2,0.336,0,0,-1,45.646,35.884,52.763,134.293,4.4,3.7,8.187,60.7,dense,1,67108864,ok
split,1788841661,Tesla_V100-SXM2-16GB,12000,split,bf16,3,8192,8192,8192,15,3,30.76,10.25,3.29,536.131,1408,1425,877,288.7,303.4,55,sw_pwr,97.4,0.268,0,0,-1,58.517,40.204,35.742,134.463,3.1,2.2,8.177,73.4,dense,1,67108864,ok
split,1788841662,Tesla_V100-SXM2-16GB,12000,split,bf16,4,8192,8192,8192,15,3,41.78,10.44,3.35,394.781,1417,1432,877,279.8,307.2,55,sw_pwr,91.5,0.235,0,0,-1,70.025,48.021,26.292,144.338,2.4,1.4,7.618,81.8,dense,1,67108864,ok
split,1788841667,Tesla_V100-SXM2-16GB,12000,split,fp32,1,16384,16384,16384,15,3,13.96,13.96,71.57,9453.642,1378,1417,877,294.3,307.9,62,sw_pwr,100.0,3.221,0,0,-1,269.511,160.631,630.243,1060.385,8.0,6.7,8.295,40.6,dense,1,268435456,ok
split,1788841679,Tesla_V100-SXM2-16GB,12000,split,fp32,2,16384,16384,16384,15,3,27.69,13.85,71.01,4764.123,1374,1440,877,291.8,316.9,64,sw_pwr,99.3,2.147,0,0,-1,391.654,134.938,317.318,843.911,4.1,4.0,10.423,62.4,dense,1,268435456,ok
split,1788841685,Tesla_V100-SXM2-16GB,12000,split,fp32,3,16384,16384,16384,15,3,43.07,14.36,73.63,3063.130,1434,1485,877,288.8,308.2,66,sw_pwr,98.9,1.790,0,0,-1,471.490,118.562,204.209,794.261,3.0,3.0,11.075,74.3,dense,1,268435456,ok
split,1788841689,Tesla_V100-SXM2-16GB,12000,split,fp32,4,16384,16384,16384,15,3,57.75,14.44,74.04,2284.728,1449,1477,877,294.7,305.8,67,sw_pwr,99.3,1.611,0,0,-1,598.501,111.579,152.315,862.395,2.2,2.4,10.200,82.3,dense,1,268435456,ok
split,1788841693,Tesla_V100-SXM2-16GB,12000,split,fp64,1,16384,16384,16384,15,3,4.36,4.36,44.97,30244.408,1447,1470,877,296.1,306.4,76,sw_pwr,100.0,6.442,0,0,-1,542.798,321.206,2016.294,2880.298,7.9,6.7,3.054,30.0,dense,1,268435456,ok
split,1788841731,Tesla_V100-SXM2-16GB,12000,split,fp64,2,16384,16384,16384,15,3,8.77,4.38,45.19,15048.793,1450,1477,877,296.5,301.7,76,sw_pwr,99.9,4.295,0,0,-1,768.988,151.872,1003.253,1924.113,4.2,7.1,4.572,47.9,dense,1,268435456,ok
split,1788841750,Tesla_V100-SXM2-16GB,12000,split,fp64,3,16384,16384,16384,15,3,13.15,4.38,45.17,10037.184,1463,1500,877,296.3,309.5,75,sw_pwr,99.9,3.579,0,0,-1,969.120,133.221,669.146,1771.486,3.0,5.4,4.965,62.2,dense,1,268435456,ok
split,1788841764,Tesla_V100-SXM2-16GB,12000,split,fp64,4,16384,16384,16384,15,3,17.70,4.42,45.61,7455.602,1466,1500,877,296.5,306.4,74,sw_pwr,99.8,3.221,0,0,-1,1280.461,172.466,497.040,1949.967,2.1,3.1,4.511,74.5,dense,1,268435456,ok
split,1788841775,Tesla_V100-SXM2-16GB,12000,split,bf16,1,16384,16384,16384,15,3,10.24,10.24,3.28,12886.321,1359,1365,877,295.8,301.6,74,sw_pwr,100.0,2.147,0,0,-1,128.859,160.582,859.088,1148.529,8.3,6.7,7.659,25.2,dense,1,268435456,ok
split,1788841791,Tesla_V100-SXM2-16GB,12000,split,bf16,2,16384,16384,16384,15,3,20.54,10.27,3.29,6423.987,1367,1395,877,295.1,301.7,74,sw_pwr,99.8,1.342,0,0,-1,189.702,71.996,428.266,689.963,4.2,7.5,12.749,37.9,dense,1,268435456,ok
split,1788841799,Tesla_V100-SXM2-16GB,12000,split,bf16,3,16384,16384,16384,15,3,30.84,10.28,3.29,4278.791,1377,1410,877,296.4,303.5,74,sw_pwr,99.8,1.074,0,0,-1,240.159,82.097,283.023,605.279,3.0,4.4,14.532,53.2,dense,1,268435456,ok
split,1788841804,Tesla_V100-SXM2-16GB,12000,split,bf16,4,16384,16384,16384,15,3,41.10,10.27,3.29,3210.494,1382,1432,877,295.0,305.6,73,sw_pwr,99.7,0.940,0,0,-1,293.021,69.093,208.557,570.671,2.3,3.9,15.414,63.5,dense,1,268435456,ok
split,1788841827,Tesla_V100-SXM2-16GB,12000,split,fp32,1,32768,32768,32768,15,3,14.28,14.28,73.25,73892.781,1407,1425,877,297.4,302.6,78,sw_pwr,100.0,12.885,0,0,-1,1040.717,642.236,4926.185,6609.138,8.3,6.7,10.647,25.5,dense,1,1073741824,ok
